Speaker,Count - Talk
Total Result,135
Mark Hibberd,11
Jed Wesley-Smith,10
Eric Torreborre,9
Alex Hennecke,7
Arnold deVos,7
Charles O'Farrell,7
Tony Sloane,6
Declan Conlon,5
Karl Roberts,5
Ben Lever,4
Christopher Hunt,3
Mark Hopkins,3
Sidney Shek,3
Alexey Raga,2
Brian McKenna,2
Conor Svensson,2
Eric Springer,2
Eric Willigers,2
Filippo Vitale,2
Hugh Giddens,2
James Roper,2
Laurence Rouesnel,2
Matt Roberts,2
Michael Neale,2
Michael Shaw,2
Ashley Valent,1
Chris Cooper,1
Daniel Spiewak,1
David Pinn,1
Ed Kmett,1
Gil Tene,1
Graham Lea,1
Greg Baran,1
Huw Campbell,1
Jacob Stanley,1
Jamie Allen,1
John Ky,1
Jonathan Merritt,1
Leonardo Borges,1
Mathew Johnson,1
Max Leythaeuser,1
Max Swadling,1
Michael Peyton Jones,1
Ngoc Dao,1
Nilanjan Raychaudhuri,1
Oliver Daff,1
Philip Wadler,1
Quinton Anderson,1
Sam Reis,1
Sean Seefried,1
Simon Gerber,1
Stephan Hoermann,1
Thibault Delor,1
Tim McGilchrist,1
Tin Pavlinic,1
Tony Morris,1
